zoom, layer_name, total_features
4, transportation, 4
4, landuse, 13
5, place, 2
5, transportation, 12
5, landuse, 14
6, transportation, 14
6, landuse, 16
6, landcover, 48
6, place, 2
6, water, 4
7, transportation, 26
7, water, 16
7, landuse, 18
7, landcover, 89
7, place, 819
8, boundary, 17
8, waterway, 45
8, transportation, 32
8, transportation_name, 178
8, water, 46
8, landuse, 195
8, landcover, 189
8, place, 819
9, boundary, 26
9, waterway, 63
9, transportation, 133
9, water, 136
9, landcover, 328
9, transportation_name, 205
9, place, 819
9, landuse, 648
10, boundary, 52
10, waterway, 84
10, transportation, 237
10, water, 352
10, landcover, 511
10, transportation_name, 232
10, place, 819
10, landuse, 1132
10, aerodrome_label, 4
11, boundary, 123
11, waterway, 129
11, transportation, 716
11, water, 645
11, landcover, 769
11, transportation_name, 327
11, place, 819
11, landuse, 2516
11, mountain_peak, 65
11, aeroway, 133
11, aerodrome_label, 4
11, park, 6
12, boundary, 318
12, waterway, 643
12, water, 1008
12, transportation, 2175
12, transportation_name, 1851
12, landcover, 1240
12, poi, 12970
12, landuse, 2925
12, place, 819
12, mountain_peak, 65
12, aeroway, 137
12, aerodrome_label, 5
12, park, 11
13, boundary, 746
13, waterway, 1160
13, water, 1490
13, transportation, 4435
13, transportation_name, 2909
13, landcover, 2100
13, poi, 12988
13, landuse, 3299
13, place, 839
13, building, 6101
13, mountain_peak, 65
13, aeroway, 141
13, aerodrome_label, 6
13, park, 31
14, boundary, 1648
14, waterway, 2848
14, water_name, 3234
14, landcover, 4120
14, water, 2473
14, poi, 754774
14, transportation, 120339
14, transportation_name, 120331
14, place, 839
14, landuse, 3691
14, building, 450318
14, mountain_peak, 65
14, housenumber, 1110
14, aeroway, 214
14, aerodrome_label, 9
14, park, 91
