zoom, tile_column, tile_row, layer_name, layer_count, total_features
4, 11, 7, transportation, 4, 17
4, 11, 7, landuse, 13, 17
5, 22, 14, place, 2, 28
5, 22, 14, transportation, 12, 28
5, 22, 14, landuse, 14, 28
6, 44, 28, transportation, 1, 10
6, 44, 28, landuse, 3, 10
6, 44, 28, landcover, 6, 10
6, 45, 28, place, 2, 74
6, 45, 28, transportation, 13, 74
6, 45, 28, water, 4, 74
6, 45, 28, landuse, 13, 74
6, 45, 28, landcover, 42, 74
7, 89, 57, transportation, 2, 12
7, 89, 57, water, 1, 12
7, 89, 57, landuse, 3, 12
7, 89, 57, landcover, 6, 12
7, 90, 57, place, 819, 956
7, 90, 57, transportation, 24, 956
7, 90, 57, water, 15, 956
7, 90, 57, landuse, 15, 956
7, 90, 57, landcover, 83, 956
8, 179, 115, boundary, 2, 2
8, 179, 114, boundary, 2, 21
8, 179, 114, waterway, 5, 21
8, 179, 114, transportation, 2, 21
8, 179, 114, transportation_name, 1, 21
8, 179, 114, water, 2, 21
8, 179, 114, landuse, 3, 21
8, 179, 114, landcover, 6, 21
8, 180, 115, boundary, 3, 6
8, 180, 115, waterway, 1, 6
8, 180, 115, landuse, 1, 6
8, 180, 115, landcover, 1, 6
8, 180, 114, place, 818, 1471
8, 180, 114, boundary, 5, 1471
8, 180, 114, waterway, 35, 1471
8, 180, 114, transportation, 27, 1471
8, 180, 114, transportation_name, 173, 1471
8, 180, 114, water, 42, 1471
8, 180, 114, landuse, 190, 1471
8, 180, 114, landcover, 181, 1471
8, 181, 115, boundary, 2, 2
8, 181, 114, place, 1, 19
8, 181, 114, boundary, 3, 19
8, 181, 114, waterway, 4, 19
8, 181, 114, transportation, 3, 19
8, 181, 114, transportation_name, 4, 19
8, 181, 114, water, 2, 19
8, 181, 114, landuse, 1, 19
8, 181, 114, landcover, 1, 19
9, 359, 230, boundary, 2, 2
9, 359, 229, boundary, 2, 11
9, 359, 229, waterway, 2, 11
9, 359, 229, transportation, 1, 11
9, 359, 229, water, 2, 11
9, 359, 229, landcover, 4, 11
9, 359, 228, boundary, 1, 10
9, 359, 228, waterway, 3, 10
9, 359, 228, transportation, 1, 10
9, 359, 228, transportation_name, 1, 10
9, 359, 228, water, 1, 10
9, 359, 228, landcover, 3, 10
9, 360, 230, boundary, 3, 4
9, 360, 230, waterway, 1, 4
9, 360, 229, place, 381, 846
9, 360, 229, boundary, 4, 846
9, 360, 229, waterway, 17, 846
9, 360, 229, transportation, 33, 846
9, 360, 229, transportation_name, 32, 846
9, 360, 229, water, 39, 846
9, 360, 229, landuse, 214, 846
9, 360, 229, landcover, 126, 846
9, 360, 228, place, 139, 425
9, 360, 228, boundary, 2, 425
9, 360, 228, waterway, 13, 425
9, 360, 228, transportation, 37, 425
9, 360, 228, transportation_name, 42, 425
9, 360, 228, water, 27, 425
9, 360, 228, landuse, 108, 425
9, 360, 228, landcover, 57, 425
9, 361, 230, boundary, 1, 2
9, 361, 230, landcover, 1, 2
9, 361, 229, place, 228, 773
9, 361, 229, boundary, 3, 773
9, 361, 229, waterway, 14, 773
9, 361, 229, transportation, 39, 773
9, 361, 229, transportation_name, 115, 773
9, 361, 229, water, 42, 773
9, 361, 229, landuse, 222, 773
9, 361, 229, landcover, 110, 773
9, 361, 228, place, 70, 260
9, 361, 228, boundary, 2, 260
9, 361, 228, waterway, 9, 260
9, 361, 228, transportation, 15, 260
9, 361, 228, transportation_name, 11, 260
9, 361, 228, water, 23, 260
9, 361, 228, landuse, 104, 260
9, 361, 228, landcover, 26, 260
9, 362, 230, boundary, 2, 2
9, 362, 229, boundary, 3, 17
9, 362, 229, waterway, 4, 17
9, 362, 229, transportation, 4, 17
9, 362, 229, transportation_name, 3, 17
9, 362, 229, water, 2, 17
9, 362, 229, landcover, 1, 17
9, 362, 228, place, 1, 6
9, 362, 228, boundary, 1, 6
9, 362, 228, transportation, 3, 6
9, 362, 228, transportation_name, 1, 6
10, 719, 460, boundary, 2, 2
10, 719, 459, boundary, 2, 7
10, 719, 459, waterway, 1, 7
10, 719, 459, transportation, 1, 7
10, 719, 459, water, 1, 7
10, 719, 459, landcover, 2, 7
10, 719, 458, boundary, 1, 7
10, 719, 458, waterway, 1, 7
10, 719, 458, transportation, 1, 7
10, 719, 458, water, 1, 7
10, 719, 458, landcover, 3, 7
10, 719, 457, boundary, 1, 9
10, 719, 457, waterway, 2, 9
10, 719, 457, transportation, 1, 9
10, 719, 457, transportation_name, 1, 9
10, 719, 457, water, 1, 9
10, 719, 457, landcover, 3, 9
10, 719, 456, waterway, 1, 1
10, 720, 460, boundary, 2, 3
10, 720, 460, waterway, 1, 3
10, 720, 459, place, 53, 199
10, 720, 459, boundary, 3, 199
10, 720, 459, waterway, 3, 199
10, 720, 459, transportation, 11, 199
10, 720, 459, transportation_name, 8, 199
10, 720, 459, water, 28, 199
10, 720, 459, landuse, 69, 199
10, 720, 459, landcover, 24, 199
10, 720, 458, place, 63, 177
10, 720, 458, boundary, 2, 177
10, 720, 458, waterway, 3, 177
10, 720, 458, transportation, 10, 177
10, 720, 458, transportation_name, 3, 177
10, 720, 458, water, 29, 177
10, 720, 458, aerodrome_label, 1, 177
10, 720, 458, landuse, 42, 177
10, 720, 458, landcover, 24, 177
10, 720, 457, place, 52, 227
10, 720, 457, boundary, 2, 227
10, 720, 457, waterway, 7, 227
10, 720, 457, transportation, 28, 227
10, 720, 457, transportation_name, 21, 227
10, 720, 457, water, 32, 227
10, 720, 457, landuse, 57, 227
10, 720, 457, landcover, 28, 227
10, 720, 456, boundary, 1, 15
10, 720, 456, waterway, 1, 15
10, 720, 456, transportation, 4, 15
10, 720, 456, transportation_name, 1, 15
10, 720, 456, water, 5, 15
10, 720, 456, landcover, 3, 15
10, 721, 460, boundary, 3, 4
10, 721, 460, waterway, 1, 4
10, 721, 459, place, 86, 239
10, 721, 459, boundary, 3, 239
10, 721, 459, waterway, 5, 239
10, 721, 459, transportation, 5, 239
10, 721, 459, transportation_name, 3, 239
10, 721, 459, water, 15, 239
10, 721, 459, landuse, 60, 239
10, 721, 459, landcover, 62, 239
10, 721, 458, place, 179, 637
10, 721, 458, boundary, 2, 637
10, 721, 458, waterway, 9, 637
10, 721, 458, transportation, 31, 637
10, 721, 458, transportation_name, 23, 637
10, 721, 458, water, 45, 637
10, 721, 458, aerodrome_label, 1, 637
10, 721, 458, landuse, 281, 637
10, 721, 458, landcover, 66, 637
10, 721, 457, place, 87, 351
10, 721, 457, boundary, 2, 351
10, 721, 457, waterway, 6, 351
10, 721, 457, transportation, 23, 351
10, 721, 457, transportation_name, 24, 351
10, 721, 457, water, 28, 351
10, 721, 457, landuse, 116, 351
10, 721, 457, landcover, 65, 351
10, 721, 456, boundary, 2, 15
10, 721, 456, waterway, 3, 15
10, 721, 456, transportation, 1, 15
10, 721, 456, water, 3, 15
10, 721, 456, landuse, 1, 15
10, 721, 456, landcover, 5, 15
10, 722, 460, boundary, 1, 2
10, 722, 460, landcover, 1, 2
10, 722, 459, place, 56, 213
10, 722, 459, boundary, 2, 213
10, 722, 459, waterway, 6, 213
10, 722, 459, transportation, 17, 213
10, 722, 459, transportation_name, 12, 213
10, 722, 459, water, 31, 213
10, 722, 459, landuse, 39, 213
10, 722, 459, landcover, 50, 213
10, 722, 458, place, 117, 571
10, 722, 458, boundary, 1, 571
10, 722, 458, waterway, 9, 571
10, 722, 458, transportation, 40, 571
10, 722, 458, transportation_name, 96, 571
10, 722, 458, water, 32, 571
10, 722, 458, aerodrome_label, 2, 571
10, 722, 458, landuse, 181, 571
10, 722, 458, landcover, 93, 571
10, 722, 457, place, 31, 196
10, 722, 457, boundary, 1, 196
10, 722, 457, waterway, 8, 196
10, 722, 457, transportation, 13, 196
10, 722, 457, transportation_name, 8, 196
10, 722, 457, water, 33, 196
10, 722, 457, landuse, 78, 196
10, 722, 457, landcover, 24, 196
10, 722, 456, boundary, 2, 11
10, 722, 456, waterway, 3, 11
10, 722, 456, transportation, 2, 11
10, 722, 456, transportation_name, 1, 11
10, 722, 456, water, 2, 11
10, 722, 456, landcover, 1, 11
10, 723, 460, boundary, 1, 1
10, 723, 459, place, 17, 149
10, 723, 459, boundary, 2, 149
10, 723, 459, waterway, 3, 149
10, 723, 459, transportation, 11, 149
10, 723, 459, transportation_name, 10, 149
10, 723, 459, water, 15, 149
10, 723, 459, landuse, 80, 149
10, 723, 459, landcover, 11, 149
10, 723, 458, place, 38, 166
10, 723, 458, boundary, 2, 166
10, 723, 458, waterway, 3, 166
10, 723, 458, transportation, 13, 166
10, 723, 458, transportation_name, 10, 166
10, 723, 458, water, 24, 166
10, 723, 458, landuse, 44, 166
10, 723, 458, landcover, 32, 166
10, 723, 457, place, 38, 180
10, 723, 457, boundary, 2, 180
10, 723, 457, waterway, 3, 180
10, 723, 457, transportation, 11, 180
10, 723, 457, transportation_name, 5, 180
10, 723, 457, water, 24, 180
10, 723, 457, landuse, 84, 180
10, 723, 457, landcover, 13, 180
10, 723, 456, place, 1, 10
10, 723, 456, boundary, 2, 10
